0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
4460,4102,373,2795,1685,1232,4293,183,3416,3727,4950,1792,3581,2356,2268,122,1146,2618,4359,1621,3625,3804,2321,1886,744,584,3992,72,2549,2275,3178,200,4089,1598,3035,2066,3963,4795,3034,254,4310,154,1026,3565,4484,303,1668,64,2683,3893,2176,2997,4958,2051,2832,2059,3361,3842,382,4372,1397,3509,318,3453,3529,1432,4774,2297,1729,2968,89,1957,2653,3354,1020,4731,2580,4022,2575,4044,4748,2754,315,4351,2615,1072,2654,2964,2920,4753,4406,3022,3022,2918,1156,2497,4099,4322,3785,1501
2136,3126,1284,1821,2243,4292,4188,1516,1473,3803,50,71,3267,780,1666,3029,860,2901,4766,704,3505,1313,4211,3929,648,2724,2742,3281,4478,3503,3343,4115,333,1095,245,3665,2810,401,4087,3594,3373,462,2757,1961,947,643,4955,4976,331,2821,4644,4690,2634,3931,1568,2089,3521,279,3493,1129,591,1572,3607,4047,4662,1801,3217,1595,3262,1149,149,856,429,3993,1291,1503,4173,5,258,535,3590,2123,4655,469,2659,4210,1119,1783,923,2088,1210,480,3615,4215,4472,4858,1678,2712,3775,3815
664,1728,1553,2860,3038,4409,2201,4175,1076,3979,4146,4955,1181,4503,2326,1087,934,895,2749,4259,71,2068,4677,3820,4699,1794,3008,4431,2499,4942,606,3833,1150,3324,1918,4280,4461,1298,3949,2071,1694,1070,209,1946,2440,772,146,1200,2394,3710,740,3737,4621,2016,3243,339,4703,534,1069,378,2416,3461,2292,295,1681,1107,2418,733,482,3623,2380,3224,199,1548,4225,4295,4561,3031,1096,4743,423,2373,711,81,1161,1697,1293,1369,490,3258,1505,990,3990,4531,4113,4468,409,4874,1843,4856
675,4438,1109,4261,1425,601,2227,1106,4596,2348,2337,976,4089,726,3226,4899,4332,3218,70,4750,1420,3261,4221,4333,2944,3749,2073,1362,3954,3851,85,1701,84,1375,2551,3729,72,3957,1613,40,2954,1447,3540,3472,273,829,3974,2167,4751,1759,2544,2412,2960,3605,3763,453,2602,3505,3742,4181,830,1670,203,396,2902,1304,3041,4034,2223,4100,2655,2436,3852,4760,4125,434,100,3582,2592,3498,3542,2604,3846,364,474,4999,699,3791,1574,1602,2783,1650,63,2202,3304,1553,660,3243,2543,1606
4127,198,3585,2336,2118,4675,174,4954,1652,2665,2836,1906,2496,2773,3167,3567,1186,4142,143,364,3177,1492,930,2746,3230,4158,1566,859,3502,2461,4593,2928,4527,2045,4037,3107,4723,3733,1704,3577,1515,775,1447,1283,4806,977,858,506,3553,614,2121,4307,4667,3942,3030,2180,197,2235,4110,1561,2633,3721,1466,937,2563,3689,419,2911,1132,317,4955,2977,4433,3526,4334,4785,3978,463,4282,2904,1658,697,2056,1316,4988,3177,2909,3268,2969,1158,4566,466,3146,2344,4405,3901,4729,4991,3690,654
3745,2457,4298,3887,3599,4773,1293,4407,3492,4746,3071,4064,3064,2034,2161,1994,4584,1942,3243,4947,1903,3690,2956,1702,265,1748,3929,4845,1156,1318,3833,2634,3006,1879,1455,3018,2538,4503,1518,4055,1001,1602,759,2161,1884,1474,62,3019,1294,4219,2972,2575,290,3619,556,3341,4577,3303,1165,3246,440,3118,1442,755,3228,3560,2835,3029,489,3195,3316,1562,139,2288,3934,141,3358,1140,3860,2805,1422,2996,3627,1492,4656,4276,52,2288,1098,1500,2460,978,116,3090,281,285,2413,4262,2007,117
4059,411,414,4729,2842,1144,4169,459,4613,1642,4610,274,2663,3654,217,4034,741,2615,1840,2208,336,4659,901,2882,3375,431,3629,3159,1134,4516,31,4129,4584,1709,3714,581,3976,3232,3833,3138,1346,4818,4963,564,4545,4459,1263,508,1556,1886,121,4,424,4698,2370,225,2704,2170,4475,4249,3334,123,4967,31,2701,454,4599,3457,923,2243,2667,3887,2667,882,1983,1516,4328,2218,4196,1219,2898,625,4379,2844,1911,235,992,2328,3874,447,1204,2805,1665,4009,1038,3358,4211,3737,3071,1736
4427,211,70,3849,1005,3703,3894,261,2478,3965,4748,4071,3199,3560,4628,1052,1137,1023,1355,2144,2352,4217,2564,1423,4951,3499,3088,580,2786,4498,661,1068,4187,1449,1126,1105,627,2535,1715,1518,3073,359,2933,1681,1165,859,2371,2600,3992,4906,3143,4048,3054,714,2130,2770,4443,445,539,3454,2271,3481,798,2836,3406,1576,2316,1350,3810,1128,1224,4185,4765,4233,2174,2056,3661,1589,4154,583,900,4510,3465,994,2072,974,4073,2428,30,596,3976,3455,1573,1639,2665,1941,907,1445,699,3677
1238,1254,1467,2600,1937,1008,3165,1004,709,4522,1027,2909,923,2071,890,1436,3519,3449,4026,2131,4699,726,4318,4522,1581,4576,4105,1221,4118,2372,276,2243,2692,2504,82,4617,1938,410,4083,944,1072,245,4784,3427,4368,2661,3254,1108,646,702,3164,2686,4230,853,2155,3727,4258,175,4077,745,2926,3369,1791,1818,4663,334,3932,2952,754,4639,3825,4772,384,4463,1366,104,2332,4503,1749,3900,248,3683,260,2885,4115,1635,4922,4067,519,3411,3526,4524,1712,1604,1076,1857,1203,2085,2641,4614
4321,2374,4942,1752,4793,3969,3759,1352,1987,1571,4942,1177,1565,575,341,1976,3730,122,1000,3429,2883,2834,656,2047,3831,2787,3107,1661,1930,1481,3107,1682,1017,2034,3635,291,3430,2600,3873,3600,2758,1180,3386,1802,1707,1518,3535,4397,4002,1703,3869,4449,684,3783,3310,3962,189,4165,718,3463,4356,2792,1743,4524,427,4025,3488,2675,2925,751,4603,4256,1429,4596,1458,1867,1818,2566,1847,3689,4489,1289,2346,2728,3145,140,4143,1788,4088,491,2652,4674,3021,4459,869,1218,3742,4262,1516,4476
1912,1950,3537,4761,5,749,2425,1926,4914,2140,2612,3933,871,4488,1637,1355,4062,2744,3199,1673,3980,4467,607,1551,3721,3668,3151,1271,1196,3319,4179,3727,4910,1921,2337,1599,4214,2406,2503,1180,4804,1608,2743,2379,4871,2701,1138,3913,3788,1402,4282,4198,1274,2686,3087,1035,3514,2277,3552,1158,1516,390,4697,2440,3104,364,2630,4989,2741,90,211,4291,2873,4465,3758,3500,1081,2710,2953,1475,4273,2834,2187,4811,892,1413,3050,2488,2086,3413,3201,1996,1015,2769,2220,2010,1713,3058,240,373
3428,2856,4147,2279,3142,373,642,4484,774,1155,3504,2998,3369,1065,23,1606,1929,4647,4973,2795,62,496,3446,4261,1640,2822,4149,3962,2870,1042,160,1519,469,4724,3586,3523,2316,2847,145,4500,3897,973,1897,216,4551,435,1710,893,4231,2598,3343,1887,2763,3719,4134,2709,1060,622,2249,1133,938,1017,4886,285,220,3046,1728,764,133,4041,786,1832,4608,3903,2832,152,3199,746,2124,1736,2492,1745,4881,3197,1987,3795,2301,2669,265,145,348,4997,595,2501,801,4381,1377,1743,789,3587
4479,3950,628,1238,2624,1818,4008,1834,2041,358,410,3054,1648,2238,4334,4583,3026,1095,1890,3476,1348,559,4322,2289,2947,234,4331,3055,2830,1042,1083,1163,4326,1630,1328,3347,4421,839,927,71,4883,3422,144,4732,4057,2795,188,1216,2814,2467,4864,2279,2102,3128,2761,785,1054,3487,2721,4906,2432,524,1054,4950,4923,3577,2772,2430,599,428,2471,1379,1768,3393,4425,1411,1245,491,579,1727,1917,4441,2943,2240,4190,154,2744,3416,2011,2550,353,2034,363,2250,714,2813,3303,3089,4914,3466
391,1444,3511,2203,3069,689,326,4662,3676,1069,2664,4789,4010,175,3581,4587,2240,4194,4207,368,639,3877,2843,4372,2359,3407,3465,1464,4541,1242,254,684,1657,3533,1050,464,766,3766,1535,4717,3994,2002,3541,1710,2771,545,4444,315,2289,3490,478,1385,33,160,756,3636,2876,4055,4413,3459,3818,4414,1044,300,4989,587,1939,507,4131,4203,1761,3162,1682,959,2218,2897,3563,4991,258,3129,2648,1499,3985,80,2295,3316,1492,1246,3244,2518,1379,2292,1541,4887,3380,2096,2326,4172,262,754
2964,100,1321,4150,2164,3058,4794,1367,4981,2692,3110,564,2303,2400,3452,861,3518,4141,4036,2562,4784,94,2093,1881,401,2394,2873,2713,4944,4948,3246,3835,1309,3660,3696,1229,857,3393,377,536,569,2,3235,2911,226,4122,4492,2817,4323,1400,3458,626,1306,1573,2474,4429,3269,3396,3820,4282,4932,2924,3770,4905,2116,520,1794,3274,1313,2736,330,4097,3353,1267,2325,1805,810,3772,4457,78,1772,3092,2580,1873,3679,137,1533,4168,2727,2929,364,4575,4288,3879,3295,2657,3663,1765,285,1276
4697,2665,4445,1189,681,21,3892,2271,1902,3141,2792,710,3068,1450,1278,4657,239,4625,853,378,2127,2989,878,1176,3713,581,3419,257,4186,19,2468,1540,766,1919,1241,1882,521,548,264,3617,2948,2143,3089,2538,4678,2626,1320,4816,3679,3770,2954,659,3765,1440,3909,3626,139,3972,1566,3445,3343,1546,3968,3073,4789,2110,3143,2598,1312,4274,3858,4395,1272,4656,479,1255,93,1963,2775,3006,2454,962,2248,5,4054,1607,276,3849,1973,3202,3219,3696,2110,1523,1080,2336,2506,3521,2450,3668
2672,3613,3699,671,4997,1345,1544,4959,1268,592,3624,4183,2035,3105,558,1286,2224,1575,363,4251,507,2796,2477,327,3416,3942,3803,4199,803,1866,742,3093,3433,691,3343,2050,2079,854,2941,4005,4115,2794,2167,1989,4682,1560,4761,4750,1280,4136,3904,3613,1780,3271,1620,4784,1695,2431,3629,1061,3752,1316,637,3410,4638,4405,3121,2524,140,4586,1,4045,3590,1574,436,1551,944,4787,2148,1634,1666,2108,1409,4820,1932,889,2333,744,3898,922,2223,3427,1887,3101,1809,2018,3841,3209,4170,3376
3397,2738,2012,3580,3024,1977,2553,1672,2703,1299,3379,4141,556,249,3250,3149,3656,2100,2786,3802,882,547,3287,2897,214,3085,4924,3466,3014,728,2678,2859,3742,3635,4520,645,3368,4425,3683,1242,275,4121,1182,31,1635,1504,4135,2983,4264,2087,2489,4426,1495,4227,1025,4850,3243,2082,1745,392,463,2692,2913,676,3112,2457,3445,3800,113,4652,1153,1,3805,806,1806,1381,3596,4435,3737,973,2774,3456,1837,497,1993,3707,474,826,3190,2758,1015,3537,3979,498,4100,954,1589,3284,1961,3269
739,4164,638,3324,3381,2509,2052,4393,3198,4325,775,3652,2288,887,2522,274,3858,2063,4262,4729,2085,650,14,3421,1853,2698,3428,3949,2568,1524,1035,3761,2656,1969,3579,1273,4739,978,19,3011,1213,802,1085,1742,2628,3340,2177,4111,4766,1561,1375,445,3237,156,732,4508,3572,1980,3777,1389,3627,4347,323,3714,4883,4750,1750,4406,816,3871,2718,2516,4628,4593,3097,211,3452,2254,4918,1502,769,2534,1177,2780,1835,60,3915,2075,695,1099,4697,207,4698,2300,498,4685,3968,3777,1359,3573
3352,1964,3439,108,2354,1674,1210,1268,1050,332,3313,3645,7,3390,3003,3129,865,1725,3023,4211,1847,642,2866,317,1084,773,4224,1506,1975,1350,1456,4054,4849,1440,1011,4787,3545,1425,899,612,2519,3540,732,2116,4713,1198,3877,3961,865,1278,3831,1701,4614,3993,202,594,3555,1019,4106,3289,4093,2911,1556,3623,2269,4466,1578,4043,399,4736,1023,4866,3901,4478,1251,2512,3377,498,1063,4853,593,4309,3598,1772,3821,4449,1130,4063,1071,2443,2843,473,159,4684,2293,2048,3372,4206,3325,4405
4662,2034,1188,4105,4373,4767,4950,2455,721,2661,448,2540,3331,3527,1027,3861,1844,1594,896,3533,2900,2080,843,1555,3111,1114,1754,3582,2202,1646,3616,4749,3965,1719,4178,1573,3931,2427,1179,969,2242,1804,1326,3301,4185,1071,999,2124,2068,2447,3102,4837,2597,548,2836,4256,1529,4741,3083,3160,3246,2727,1411,709,2357,4390,1863,4660,347,2984,684,1315,3573,3950,2173,4058,3855,4012,2722,3854,2514,2001,4877,1,1579,4607,324,4033,978,3166,1673,4160,647,1657,1599,838,3793,1730,4095,4393
1099,635,2765,4165,3380,4455,4134,2756,485,1027,1084,4376,2811,1500,4418,2970,2283,1511,953,796,490,4373,1462,1726,1053,2487,3404,3489,2118,219,1797,2840,2078,3500,1184,4291,4362,868,1251,862,3816,1303,4517,2188,3756,2702,404,30,442,3207,4667,4929,3766,1140,3543,3769,2133,2390,3311,619,2799,2667,4758,2267,1822,378,527,1496,1703,4949,569,4409,3763,2502,793,4146,3263,836,3646,150,1180,589,4994,555,1321,2675,4879,3077,173,3036,4161,4582,1315,3706,4881,1895,2332,4470,1699,2813
3320,4752,233,4364,2686,2408,2284,3905,4238,4677,2572,942,1323,3124,9,1928,4176,2805,1339,1844,2273,997,2613,2094,1375,3276,1476,2437,2073,4350,1897,2430,2216,3123,4534,2129,1151,2414,1124,3644,4456,3839,4364,2123,869,4258,2252,1965,2769,2172,1170,2698,786,4966,704,3632,2820,1807,2899,774,2408,2072,3245,165,2752,3353,2146,2563,468,2349,3752,3257,4925,852,3483,4859,3613,3786,335,1651,1097,1669,3973,3744,683,4043,3731,1440,701,145,3186,4360,2802,2194,46,4225,3527,561,4617,59
4829,4731,4650,3934,3794,4015,3265,3735,3911,2686,4576,532,2711,3680,1134,2828,1854,1455,2929,1764,155,4946,3465,1522,4136,4258,2726,610,230,251,1336,930,1347,1365,737,3697,895,2480,2906,648,1067,1525,2827,4406,2794,3428,1697,3437,908,969,83,40,3134,3914,325,720,3701,3038,10,1487,4824,4557,382,2937,3698,934,295,908,3554,1755,2278,2308,206,1967,440,2145,1515,1672,3879,2713,2174,368,4962,4936,3913,961,4362,2444,1509,2055,4185,4169,4142,4757,3508,773,4752,4289,4865,1433
2817,385,3889,2413,2877,1277,4208,4282,4950,4774,1883,4204,96,1235,3759,4346,2970,4238,4074,4908,4318,1016,25,4653,4517,4052,4402,778,2061,4558,4012,2228,3228,569,654,4706,3039,4660,3923,3526,3381,3435,4800,1044,3263,3938,2065,4858,2706,1118,3850,2291,325,2034,1797,1532,3746,4632,4789,2910,4118,2780,710,2800,2328,2434,4468,2520,1084,998,1274,1284,4915,3298,128,877,397,328,1439,2686,96,3588,3214,2940,711,4428,3772,1293,4153,2060,2582,2913,2917,229,2202,4151,1647,1182,1850,4151
1873,628,170,2834,721,2941,1786,3012,4803,4365,4867,1762,2694,1635,3394,2947,2195,3101,4808,2426,3076,4775,3634,22,3588,492,1587,3818,2146,4621,825,3920,3738,2115,2468,4478,853,1423,369,4038,1378,3896,444,4071,3034,199,922,1588,923,1519,3939,1701,2361,3039,987,506,2537,4794,2322,4724,169,4445,3269,3475,3692,1203,3928,4283,2917,1229,1508,3291,4912,4531,2138,2058,4988,2881,367,2301,2557,88,4105,3316,1625,289,4747,1910,2628,2368,1797,492,1561,1188,2649,2583,2155,3144,4404,2166
3344,2985,467,3230,2934,3530,765,2035,3398,3896,3626,3222,3296,2950,3047,4003,681,272,2273,368,2825,2838,4411,3408,600,4794,3791,4201,4470,3245,4516,1557,1361,2926,3075,2733,3456,1301,4384,4107,2975,2878,1707,3271,147,4816,3904,4433,1699,3945,1820,1657,4096,2852,3695,1916,4094,1351,1860,813,1875,1799,2820,4003,203,2887,3866,1249,1932,3959,1991,1139,4596,323,2010,4726,2127,903,4490,2827,3752,165,4462,4691,322,3063,4552,2252,3657,1941,3122,153,3491,2284,3697,4386,3327,4120,1909,1312
388,4770,3992,165,4814,2256,4036,4352,1557,3751,2519,2098,3090,4105,3983,2496,1889,949,165,3953,4079,2707,3318,196,2359,302,4376,1385,2504,1199,422,2790,1591,3260,3816,1337,3910,4914,2682,1762,1613,2790,4848,2092,3177,4159,2882,2479,4496,2132,4367,2771,453,4844,670,1569,303,3836,3808,4261,888,1687,2416,1011,3399,3049,3880,3494,487,727,2678,1733,1336,1580,1208,2704,2941,2,369,3437,176,3284,4068,3893,1198,98,4504,1703,3922,2201,2774,3023,1797,2118,1287,4745,12,1711,886,4249
2461,4792,2182,1270,2540,596,1214,4718,125,2394,1619,3448,1649,494,3553,4993,3080,2488,409,458,3746,3239,594,495,2663,3539,3910,901,290,4293,1139,4506,265,4942,103,3427,280,1031,2632,2849,1178,890,479,936,2493,4357,1788,1098,2513,1914,1080,2010,2633,2326,2648,1797,1818,1284,399,418,4873,759,3761,2717,2598,1331,2317,1435,4350,1428,1259,890,3341,3259,1312,3763,946,1060,4641,11,1447,86,2338,1557,1201,358,1507,2784,3976,681,4156,755,2477,1990,4774,4851,2812,4128,2135,4371
2943,131,4715,1224,1039,3699,261,2263,807,2938,4904,3267,2444,1396,4891,2055,4236,4962,3275,4421,1129,4082,4205,2205,3552,2394,3064,578,4590,3093,4975,4661,4576,997,718,1565,3883,2701,1181,3964,4726,2335,990,4675,4577,827,4751,279,1689,1750,2311,1938,1712,3118,71,3437,3470,480,2771,1450,1455,855,1002,3684,2830,3048,4412,1898,1843,4087,4399,4359,2277,459,2794,2946,4048,1269,1858,1419,558,1656,744,3693,4934,2273,1214,778,3248,1002,4815,2789,4854,3756,2644,3817,4481,4132,2543,4164
2761,2275,2317,3503,3201,4805,1803,889,822,2726,2140,526,3026,4376,2163,2212,33,2581,2227,963,2955,3194,2761,2426,4379,2996,1074,3830,785,720,3084,2939,1220,1149,1082,1581,4461,26,2328,283,1129,4484,4402,3834,1747,2473,1704,3167,12,3116,1972,4587,171,4241,465,826,2568,798,4564,1659,595,2601,2539,4059,3652,938,3194,3267,437,474,4368,585,3269,3143,1809,2304,1255,2586,1694,627,3734,9,208,1276,1010,2914,4260,560,253,369,2882,4128,4758,3821,3496,3471,61,2563,1817,746
1992,783,3894,1705,1799,1230,3483,293,592,3918,4512,4455,3082,137,1225,1775,3187,2403,3726,3205,1588,3561,1174,2060,253,501,1017,3433,4546,635,2024,4468,1060,4529,4040,1021,1032,1529,68,252,75,3167,2180,559,2860,1529,1968,3731,2459,3788,2251,558,3754,2467,2921,4402,2201,1338,3953,3104,2468,2530,3567,1806,337,1003,3460,3481,2083,1826,3134,512,4635,805,1674,2783,2044,841,625,4205,4329,2770,4134,3598,1208,4917,748,3044,1654,2222,4521,3414,597,342,2931,4158,4774,3048,2128,3641
2308,276,4209,43,4841,231,2669,3464,2521,2083,2951,2201,1880,3956,1826,4972,139,1889,926,4818,2430,4951,494,545,701,727,4961,4403,2061,1450,3526,2184,2555,1925,1653,409,4073,3865,529,785,2653,1362,175,740,695,1199,2967,673,3911,4018,4924,303,2252,2569,38,4622,4955,4608,3518,4577,327,3517,3056,3312,4168,3185,246,4293,1694,1766,856,181,2273,2127,3477,598,316,1755,1527,2828,370,165,642,264,513,645,3694,3845,4941,658,691,2218,934,977,3062,699,1988,1309,1103,902
761,4073,3436,1808,4552,4138,977,3647,2372,4872,4419,4290,864,727,4171,541,1506,1219,2815,2201,527,1386,4740,362,4258,3966,159,1394,1643,4539,4215,2280,1425,3234,2167,1910,3511,1487,4283,756,2578,2172,4701,3211,3862,2067,4090,1034,2454,544,110,2276,2830,4654,1453,176,2324,4013,4067,682,3188,2433,3537,4023,807,3913,4040,4698,2832,4087,3562,1010,1670,152,390,1497,1344,925,2866,535,2261,487,804,2661,2521,2331,2240,4063,722,806,939,437,155,3614,2127,3126,765,509,2540,2269
